id,name,location,code,created_by,created_at
14df98a8-be20-44c9-901e-236a12f3156b,Trillium Kids - College block,RT Nagar,KA008A,rahila,2025-09-18 07:24:34.214+00
179c3820-42cf-485a-b617-9a8dcb838922,Al Ameen Crown branch,West Bengal,WB005H,asma_ayesha,2025-09-19 02:37:48.36+00
1a2f1665-c831-4d62-b891-08ef1b2b6dd6,Tscg,Hdb,Hdb,asma_ayesha,2025-11-11 11:26:09.688+00
1ca1c2ae-a9bb-4c67-ad8e-b8c87bc7d70b,Al Noor Dudhpathil,Assam,AS001D,asma_ayesha,2025-07-22 23:45:14.998+00
1d81faf3-1166-42f2-8dd3-8d51102b1a92,Al Noor  Barjatrapur,Assam,AS001B,asma_ayesha,2025-07-07 03:43:41.525+00
1de9aa42-d490-4c95-8b6e-ba759a2eab33,Huda Public,Odissa,OD002,asma_ayesha,2025-07-22 23:51:17.673+00
1f8bffea-cb84-43bf-94e8-c7e9c8691579,National Public school,Ilkal,KA011,rahila,2025-09-08 05:52:16.028+00
3ef86387-1ec3-47df-ba18-d1e95fa397cf,Sana School (Poonamalle),Chennai,TN001B,rafaha_farheen,2025-09-08 06:09:05.894+00
425be924-f5e6-47ba-892e-d1961605bca5,Model Educationcal,Lucknow,,ruksana,2025-10-17 07:01:09.637+00
462131bc-db2f-4b8f-95c0-8db9ddf0754b,Al Ameen Patharchapuri,West Bengal WB005M,,asma_ayesha,2025-09-26 04:18:54.395+00
463a626e-cd2e-45d0-98d3-0f5db9755375,SPI School,Gaurabagh,UP002B,ruksana,2025-09-12 07:33:19.888+00
5efd2fdf-5d63-407b-9103-8aeb8f090ba9,Al Ameen (Lal Bagh),Bangalore,KA050A,rahila,2025-10-15 07:28:47.35+00
678fbf56-2845-40a7-ac69-9aecba6a7d7b,Ghaisul Huda school,Bangalore,KA070,rahila,2025-09-08 08:01:26.337+00
6e63ae71-f20c-4d60-89f9-42adcfc5069e,Mohammadiya English medium school,Ghataprabha,KA042,rahila,2025-07-17 06:54:26.202+00
78488659-f307-4130-8dfb-3b7acd05fbe5,Waris Nishan,Yaseen Garhi,,ruksana,2025-11-06 11:10:17.642+00
8731e550-71eb-41b4-993f-35b1acbcccba,Al Noor Shantipur,Assam,AS001C,asma_ayesha,2025-07-22 23:42:04.851+00
8c1fa765-a67c-42f6-b6d9-cd13e8066c57,SPI School,Kursi,,ruksana,2025-09-19 04:11:08.9+00
8e4b3b36-fa8f-4fee-8493-7469c2d72e5a,Al Ameen Unsani,West Bengal,WB005B,asma_ayesha,2025-11-10 12:42:36.164+00
9c4706be-65d5-4a38-b5c8-f0cce702fc03,Huda Primary school,Kollegal,KA069,rahila,2025-07-10 07:00:22.088+00
a02256d5-928d-4604-bbad-82dc91cd683e,Kids Care Academy,West Bengal,WB010,asma_ayesha,2025-09-26 05:16:50.953+00
a0a55727-62c1-4ec1-9b64-41f8af4f37ec,Allama Iqbal School,UP/Bahraich,UP025,ruksana,2025-09-09 04:13:15.248+00
a574c405-8d97-445d-9fba-d544e10867a3,Safa Matriculation,Tamil Nadu,,rafaha_farheen,2025-09-17 07:59:03.348+00
a62638b1-d73d-4331-b89d-1b478bbd6d1b,Sana School (Jamalia),Chennai,TN001C,rafaha_farheen,2025-09-09 09:41:11.197+00
a7a1d790-0a62-409f-87d3-d3537e2788a1,Noumani Play (C2 branch),MH,MH014,asma_ayesha,2025-09-09 10:50:47.423+00
ad965551-22a0-4cd1-87dc-a757d17dc218,Al Ameen Bakultala,West Bengal,WB005A,asma_ayesha,2025-07-22 23:51:52.247+00
b1e31d99-6c77-4cd8-aabb-96c5223c819a,SPI School,Mauzzam Nagar,,ruksana,2025-09-25 08:27:10.542+00
b54ce43a-6ce8-44d2-8e3b-619a6e4b1c1a,Ms Academy,"Uppala, Kerela",KL001A,rafaha_farheen,2025-11-10 11:07:17.071+00
b77d0a43-2271-4933-8f6a-1cc43b238a58,Al Ameen Paikpari,West Bengal,WB005N,asma_ayesha,2025-09-19 02:40:08.224+00
b89eb299-e59d-4c7c-86b6-3a7cda1a4f34,Ali Progressive E.M.School,Rayadurg,AP003,rafaha_farheen,2025-11-06 10:43:19.084+00
c4031971-8da7-432b-aefb-4d15a7c29ff6,Divine School,Gulbarga,KA001,rafaha_farheen,2025-09-10 09:27:50.942+00
c4186fe0-c9f0-484d-8a2d-51054571d3db,Ar Rashad National School,Chalekere,KA068,rahila,2025-11-08 06:47:19.167+00
c8dbec63-2428-4987-af45-9f5658c9ff5b,Safa Nursery - Arni,Tamil Nadu,,rafaha_farheen,2025-09-23 07:13:10.938+00
cd67ef1b-e617-48a0-a9eb-8bfd64b4040b,Trillium Kids,"Bhuvaneshwari Nagar, Bangalore",KA008B,rahila,2025-08-14 07:48:07.336+00
ce954391-669f-43cd-9e21-185626e6ebcc,SPI School,Kalyan Nagar,,ruksana,2025-11-04 08:37:11.304+00
d04f19a5-66d5-4ae9-805b-3799ed03b5b2,Sana School (Egmore),Chennai,TN001A,rafaha_farheen,2025-09-08 05:39:25.037+00
d20cb72e-853d-4a0e-82e2-3145d9e1c21e,Foundation star International school,Lucknow,UP024,ruksana,2025-07-14 11:08:11.131+00
d715ae06-3ee6-4f07-a68d-b66c7d5c507c,Al Noor Borkhola,Assam,AS001A,asma_ayesha,2025-07-15 05:59:15.405+00
e1674f11-aa30-426f-846a-543c58379a76,Asra apublic school,"Nayanhalli, Bengaluru",KA075,rahila,2025-11-03 05:44:43.478+00
e31eb51b-9097-4a4a-9331-e808af62a3a9,New Excellent school,Bangalore,KA059,rahila,2025-10-17 06:12:59.009+00
e77e009d-1155-4c17-807a-95a97c999270,Olive Academy,Lucknow,,ruksana,2025-10-24 06:41:40.423+00
e8e5a6cc-44a9-4573-a3bd-0123b4f770c7,Ashraf Model,Hyderabad,TL011,asma_ayesha,2025-09-19 02:39:29.085+00
ef25a4fb-1184-4a09-83a6-d4c5f838ff00,New Danish School,Hubli,KA004,rahila,2025-09-02 07:12:01.547+00
f2c8026d-2a73-4f73-9dc0-23706678b6e3,Al Ameen Sugarh branch,West Bengal,WB005K,asma_ayesha,2025-09-08 03:28:58.348+00
f4da3593-2e2c-47ef-b0d6-50d2d76c4229,Al Ameen Bergam,West Bengal,WB005E,asma_ayesha,2025-11-08 08:23:12.453+00
